Uid_final,so_don_tong,OD1_Final_Reporting_Month,don_moi_nhat_Final_Reporting_Month,don_moi_nhat_remain,don_moi_nhat_status,phan_loai
3303551331,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3303917093,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3303929919,1,2026-06,2026-06,,,Da hoc het remain<=0 (DA1RP danh Expired)
3304020718,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3304033742,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3304073651,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3304116447,2,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3304139552,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3304170699,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3305338227,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3305432915,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3305618551,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3305845807,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3305863666,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3305883944,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3305925593,1,2026-06,2026-06,0,,Da hoc het remain<=0 (DA1RP danh Expired)
3305933567,1,2026-06,2026-06,0,,Da hoc het remain<=0 (DA1RP danh Expired)
3306152063,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3306174351,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3306182977,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3306985579,1,2026-06,2026-06,4,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3307368405,1,2026-06,2026-06,4,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
